user|date|srcLoc(lat,long)|destLoc(lat,long)|distInKms
790d985ad9395f5f705b54af60a4818954|120110|69.1464,34.3199|69.1784,34.532|23.77
790e09593a66d1ef0e7094395fe3b15c9c|120105|69.574,34.5073|68.9128,33.9417|87.47
790e09593a66d1ef0e7094395fe3b15c9c|120106|69.574,34.5073|69.1954,34.5378|34.85
790e09593a66d1ef0e7094395fe3b15c9c|120107|69.574,34.5073|69.1464,34.3199|44.42
790e09593a66d1ef0e7094395fe3b15c9c|120108|69.574,34.5073|69.2036,34.4691|34.21
790e09593a66d1ef0e7094395fe3b15c9c|120110|69.574,34.5073|69.2237,34.4686|32.39
790e09593a66d1ef0e7094395fe3b15c9c|120111|69.574,34.5073|69.1919,34.5285|35.09
790e6a8902768cd4cdad41ab19e76ec497|120107|69.3296,34.5098|69.771,34.5967|41.56
790e940704dd67b27f3c6f1203bd1af338|120105|69.1391,34.546|69.0373,35.3146|85.97
790e940704dd67b27f3c6f1203bd1af338|120107|69.1391,34.546|69.237,35.1194|64.38
790eb4dc94e3b7d05e1319652a45d6029f|120105|69.1976,34.5432|70.2083,34.6705|93.58
790ec7bea4a8b1c5f9acfba7f58569ee67|120105|69.1452,34.5784|70.0398,34.5031|82.37
790f0ad5f387a5dbd69d0a6da883da592f|120106|69.2031,34.0085|69.7101,33.9399|47.37
790f0ad5f387a5dbd69d0a6da883da592f|120107|69.2031,34.0085|69.7101,33.9399|47.37
790f0ad5f387a5dbd69d0a6da883da592f|120108|69.2031,34.0085|69.7101,33.9399|47.37
790f0ad5f387a5dbd69d0a6da883da592f|120109|69.2031,34.0085|69.7101,33.9399|47.37
790f0ad5f387a5dbd69d0a6da883da592f|120110|69.2031,34.0085|69.7101,33.9399|47.37
790f45efaf2cf62e9c219efe925802ddd3|120105|69.3238,35.1029|69.147,34.5834|59.98
790f45efaf2cf62e9c219efe925802ddd3|120106|69.3238,35.1029|69.147,34.5834|59.98
790f45efaf2cf62e9c219efe925802ddd3|120107|69.3238,35.1029|69.147,34.5834|59.98
790f45efaf2cf62e9c219efe925802ddd3|120108|69.3238,35.1029|69.147,34.5834|59.98
790f45efaf2cf62e9c219efe925802ddd3|120110|69.3238,35.1029|69.1566,34.5906|58.97
790f5ecb615af5e48397149b47cd5bafc7|120107|69.0623,34.5247|69.1533,34.8442|36.49
790f776d36433843c063bfdb204743f187|120110|70.1177,34.7348|69.0434,34.5334|100.81
790ffcd2e7052300f9f677fc0fc1e7a730|120105|69.1464,34.3199|69.074,34.4994|21.04
790ffcd2e7052300f9f677fc0fc1e7a730|120106|69.1464,34.3199|69.074,34.4994|21.04
790ffcd2e7052300f9f677fc0fc1e7a730|120107|69.1464,34.3199|69.0698,34.5096|22.23
790ffcd2e7052300f9f677fc0fc1e7a730|120109|69.1464,34.3199|69.074,34.4994|21.04
7910b9f2684299d151c2c1a612ec955ecf|120108|69.1667,35.0031|69.1452,34.5784|47.27
7910b9f2684299d151c2c1a612ec955ecf|120109|69.1667,35.0031|69.1319,34.5847|46.63
7910b9f2684299d151c2c1a612ec955ecf|120110|69.1667,35.0031|69.1251,34.5952|45.52
7910b9f2684299d151c2c1a612ec955ecf|120111|69.1667,35.0031|69.1388,34.5774|47.4
7910fa0e9368e622c41f566fd0f93402fb|120105|69.1464,34.3199|69.1809,34.5178|22.23
7910fa0e9368e622c41f566fd0f93402fb|120107|69.1464,34.3199|69.1809,34.5178|22.23
7910fa0e9368e622c41f566fd0f93402fb|120108|69.1464,34.3199|69.1809,34.5178|22.23
7910fa0e9368e622c41f566fd0f93402fb|120109|69.1464,34.3199|69.1441,34.5132|21.5
7910fa0e9368e622c41f566fd0f93402fb|120111|69.1464,34.3199|69.1809,34.5178|22.23
7911646d5278107552e3cfcc5238a1cea1|120111|69.3316,34.5246|69.1173,34.5725|20.34
79116c8eeb3447a1bbdd402af4cc112aca|120106|69.1414,34.775|68.9286,34.5557|31.2
79116c8eeb3447a1bbdd402af4cc112aca|120107|69.1414,34.775|68.9286,34.5557|31.2
79116c8eeb3447a1bbdd402af4cc112aca|120108|69.1414,34.775|68.9286,34.5557|31.2
79116c8eeb3447a1bbdd402af4cc112aca|120109|69.1414,34.775|68.9286,34.5557|31.2
79116c8eeb3447a1bbdd402af4cc112aca|120110|69.1414,34.775|68.9286,34.5557|31.2
79116c8eeb3447a1bbdd402af4cc112aca|120111|69.1414,34.775|68.9286,34.5557|31.2
